词语, 词性种类, 词义数, 词义序号, 情感分类, 强度, 极性, 辅助情感分类, 强度, 极性, , , 
通风报信, idiom, 1.0, 1.0, ND, 3.0, 0.0, , , , , , 
通儒达士, idiom, 1.0, 1.0, PD, 7.0, 1.0, PH, 7.0, 1.0, , , 
同仇敌忾, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
同心合力, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
同心敌忾, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
同美相妒, idiom, 1.0, 1.0, NK, 5.0, 2.0, , , , , , 
同恶相恤, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
同盘而食, idiom, 1.0, 1.0, PB, 7.0, 1.0, PH, 7.0, 1.0, , , 
铜盘重肉, idiom, 1.0, 1.0, PB, 5.0, 0.0, , , , , , 
偷媚取容, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
头昏目晕, idiom, 1.0, 1.0, NE, 5.0, 0.0, , , , , , 
头破血流, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
头痛治头，足痛治足, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
投戈讲艺, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
投梭折齿, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
东猎西渔, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
洞心骇耳, idiom, 1.0, 1.0, PC, 5.0, 0.0, , , , , , 
斗方名士, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
都头异姓, idiom, 1.0, 1.0, PD, 9.0, 1.0, , , , , , 
独立王国, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
黩武穷兵, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
杜渐防微, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
断长补短, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
断齑画粥, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
敦默寡言, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
遁俗无闷, idiom, 1.0, 1.0, PE, 5.0, 0.0, , , , , , 
多灾多难, idiom, 1.0, 1.0, NB, 5.0, 0.0, NE, 5.0, 0.0, , , 
堕溷飘茵, idiom, 1.0, 1.0, NJ, 5.0, 0.0, , , , , , 
讹以传讹, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
恶衣蔬食, idiom, 1.0, 1.0, PH, 5.0, 1.0, NB, 5.0, 0.0, , , 
恶紫夺朱, idiom, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
二缶锺惑, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
伐罪吊民, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
反朴还淳, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
饭来开口, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
方头不律, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
放辟淫侈, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
飞鸟依人, idiom, 1.0, 1.0, PB, 5.0, 3.0, NN, 5.0, 3.0, , , 
飞檐走脊, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
吠影吠声, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
分花约柳, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
分劳赴功, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
焚骨扬灰, idiom, 1.0, 1.0, NA, 9.0, 0.0, ND, 9.0, 0.0, , , 
奋身不顾, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
愤不顾身, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
丰墙墝下, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
风月无边, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
风雨对床, idiom, 1.0, 1.0, PA, 5.0, 0.0, , , , , , 
赫奕, adj, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
轰动, verb, 1.0, 1.0, PC, 7.0, 0.0, , , , , , 
鸿鹄, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
虎势, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
低估, verb, 1.0, 1.0, PC, 3.0, 2.0, , , , , , 
滴溜溜, adj, 2.0, 2.0, PH, 5.0, 1.0, , , , , , 
嫡母, noun, 1.0, 1.0, PD, 5.0, 0.0, , , , , , 
抵排, verb, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
地方主义, noun, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
帝王, noun, 1.0, 1.0, NN, 5.0, 3.0, PH, 5.0, 3.0, , , 
宣扬, verb, 1.0, 1.0, NN, 5.0, 3.0, PH, 5.0, 3.0, , , 
学问, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
血友病, noun, 1.0, 1.0, NB, 5.0, 0.0, NC, 5.0, 0.0, , , 
殉情, noun, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
咽峡炎, noun, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
炎症, noun, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
抠字眼儿, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
宽饶, verb, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
喟叹, verb, 1.0, 1.0, NJ, 3.0, 0.0, NB, 3.0, 0.0, , , 
苦战, noun, 1.0, 1.0, NE, 7.0, 0.0, , , , , , 
溃败, noun, 1.0, 1.0, ND, 9.0, 2.0, NB, 5.0, 0.0, , , 
拉交情, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
种族主义, noun, 1.0, 1.0, NA, 7.0, 2.0, NN, 7.0, 2.0, , , 
重婚, adj, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
重用, adj, 1.0, 1.0, PG, 9.0, 1.0, , , , , , 
珠宝, noun, 1.0, 1.0, PB, 7.0, 0.0, , , , , , 
烛泪, noun, 1.0, 1.0, NB, 7.0, 1.0, , , , , , 
主谋, noun, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
伫立, verb, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
注重, adj, 1.0, 1.0, PD, 8.0, 1.0, , , , , , 
转筋, noun, 1.0, 1.0, NB, 3.0, 0.0, NE, 3.0, 0.0, , , 
转赠, verb, 1.0, 1.0, PB, 3.0, 1.0, , , , , , 
装殓, verb, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
撞骗, noun, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
追认, verb, 1.0, 1.0, PD, 5.0, 0.0, , , , , , 
追赠, verb, 1.0, 1.0, PD, 5.0, 0.0, , , , , , 
准许, verb, 1.0, 1.0, PA, 1.0, 0.0, , , , , , 
着花, verb, 1.0, 1.0, PB, 3.0, 0.0, , , , , , 
强中自有强中手, idiom, 1.0, 1.0, PH, 5.0, 0.0, , , , , , 
强脣劣嘴, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
跷足抗手, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
敲榨勒索, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
巧立名色, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
切理餍心, idiom, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
噙齿戴发, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
青衫司马, idiom, 1.0, 1.0, NJ, 5.0, 0.0, NB, 5.0, 0.0, , , 
青蝇点璧, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
轻身殉义, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
轻财敬士, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
清歌妙舞, idiom, 1.0, 1.0, PH, 4.0, 1.0, , , , , , 
穷不失义, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
曲学诐行, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
去故纳新, idiom, 1.0, 1.0, PA, 7.0, 0.0, , , , , , 
劝善黜恶, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
鹊返鸾回, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
榷酒征茶, idiom, 1.0, 1.0, ND, 5.0, 2.0, NN, 5.0, 2.0, , , 
热心快肠, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
人百其身, idiom, 1.0, 1.0, NB, 9.0, 2.0, , , , , , 
人情恟恟, idiom, 1.0, 1.0, NI, 5.0, 2.0, , , , , , 
仁言利溥, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
任凭风浪起，稳坐钓鱼船, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
日昃不食, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
日新月盛, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
镕古铸今, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
强取, verb, 1.0, 1.0, NA, 7.0, 2.0, NN, 7.0, 2.0, , , 
抢险, verb, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
乔装, verb, 1.0, 1.0, NC, 5.0, 0.0, , , , , , 
俏式, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
切要, noun, 1.0, 1.0, PG, 5.0, 0.0, PH, 5.0, 0.0, , , 
亲戚, noun, 1.0, 1.0, PB, 5.0, 0.0, , , , , , 
亲友, noun, 1.0, 1.0, PB, 5.0, 0.0, , , , , , 
亲嘴, verb, 1.0, 1.0, PA, 5.0, 0.0, , , , , , 
青春, noun, 1.0, 1.0, PA, 5.0, 0.0, , , , , , 
轻闲, noun, 1.0, 1.0, PE, 5.0, 0.0, , , , , , 
清查, verb, 1.0, 1.0, NL, 5.0, 0.0, , , , , , 
情操, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
情郎, noun, 1.0, 1.0, PB, 7.0, 1.0, , , , , , 
情态, noun, 1.0, 1.0, PB, 5.0, 0.0, , , , , , 
情欲, noun, 1.0, 1.0, PA, 5.0, 0.0, NN, 5.0, 0.0, , , 
请罪, verb, 1.0, 1.0, NH, 7.0, 0.0, , , , , , 
穷目, noun, 1.0, 1.0, PF, 7.0, 0.0, , , , , , 
求告, verb, 1.0, 1.0, PK, 5.0, 0.0, NH, 5.0, 0.0, , , 
求情, verb, 1.0, 1.0, PK, 7.0, 0.0, , , , , , 
屈尊, noun, 1.0, 1.0, PD, 5.0, 1.0, , , , , , 
趣剧, noun, 1.0, 1.0, PA, 7.0, 0.0, , , , , , 
良宵, noun, 1.0, 1.0, PH, 5.0, 1.0, PB, 5.0, 1.0, , , 
亮堂堂, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
琳琅, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
流民, noun, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
喽罗, noun, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
堂奥, adj, 3.0, 1.0, PH, 5.0, 1.0, , , , , , 
逃命, verb, 1.0, 1.0, NI, 5.0, 2.0, , , , , , 
陶钧, verb, 2.0, 2.0, PH, 5.0, 1.0, , , , , , 
天安门事件, noun, 1.0, 1.0, NB, 5.0, 2.0, NA, 5.0, 2.0, , , 
天然, adj, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
天真, adj, 2.0, 2.0, PB, 5.0, 3.0, NN, 5.0, 3.0, , , 
贴金, verb, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
举世无双, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
据义履方, idiom, 1.0, 1.0, PH, 5.0, 2.0, , , , , , 
锯牙钩爪, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
卷甲衔枚, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
决一雌雄, idiom, 1.0, 1.0, PG, 1.0, 2.0, , , , , , 
抉目悬门, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
倔头强脑, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
钧天广乐, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
开花结实, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
开云见天, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
刊心刻骨, idiom, 1.0, 1.0, PB, 5.0, 1.0, PF, 5.0, 1.0, , , 
尻轮神马, idiom, 1.0, 1.0, PA, 9.0, 0.0, , , , , , 
剋己奉公, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
铿金霏玉, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
口中雌黄, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
口谐辞给, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
枯木生花, idiom, 2.0, 2.0, NB, 5.0, 0.0, PA, 5.0, 0.0, , , 
枯枿朽株, idiom, 1.0, 1.0, NJ, 7.0, 2.0, , , , , , 
枯树逢春, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
夸大其辞, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
快心遂意, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
宽洪海量, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
匡衡凿壁, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
诳时惑众, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
困兽犹斗, idiom, 1.0, 1.0, NC, 5.0, 2.0, , , , , , 
来好息师, idiom, 1.0, 1.0, PE, 3.0, 1.0, , , , , , 
揽辔中原, idiom, 1.0, 1.0, PG, 5.0, 1.0, , , , , , 
滥官污吏, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
狼奔鼠窜, idiom, 1.0, 1.0, NC, 5.0, 2.0, , , , , , 
狼嗥狗叫, idiom, 1.0, 1.0, NA, 7.0, 2.0, , , , , , 
狼顾鸱张, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
劳民费财, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
乐天安命, idiom, 1.0, 1.0, PE, 5.0, 0.0, , , , , , 
乐事劝功, idiom, 1.0, 1.0, PB, 5.0, 0.0, , , , , , 
乐极则忧, idiom, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
乐道好古, idiom, 1.0, 1.0, PB, 5.0, 0.0, , , , , , 
乐山爱水, idiom, 1.0, 1.0, PB, 7.0, 0.0, , , , , , 
磊落不羁, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
冷血动物, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
楞头楞脑, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
离奇古怪, idiom, 1.0, 1.0, PC, 7.0, 1.0, , , , , , 
离鸾别凤, idiom, 1.0, 1.0, NB, 5.0, 2.0, , , , , , 
李广难封, idiom, 1.0, 1.0, NB, 7.0, 2.0, , , , , , 
历历落落, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
沥血披心, idiom, 1.0, 1.0, PG, 5.0, 1.0, , , , , , 
丽句清辞, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
连天烽火, idiom, 1.0, 1.0, NB, 5.0, 2.0, , , , , , 
连枝同气, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
连昬接晨, idiom, 1.0, 1.0, PH, 1.0, 0.0, , , , , , 
连篇累帙, idiom, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
连舆接席, idiom, 1.0, 1.0, PB, 5.0, 1.0, , , , , , 
廉而不刿, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
脸红耳赤, idiom, 1.0, 1.0, NG, 7.0, 0.0, NA, 5.0, 0.0, , , 
恋恋难舍, idiom, 1.0, 1.0, PB, 9.0, 1.0, , , , , , 
两肋插刀, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
两意三心, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
量材录用, idiom, 1.0, 1.0, PG, 3.0, 1.0, , , , , , 
引咎自责, idiom, 1.0, 1.0, NH, 7.0, 2.0, , , , , , 
澹泊寡欲, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
一秉至公, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
眼里揉不下沙子, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
仰屋著书, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
不远千里, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
事必躬亲, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
一身都是胆, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
先自隗始, idiom, 1.0, 1.0, PG, 5.0, 0.0, PK, 5.0, 0.0, , , 
精打细算, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
规行矩步, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
精诚团结, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
一心一德, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
相儒以沫, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
患难与共, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
和而不同, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
周而不比, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
鹤鸣九皋, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
旁求俊彦, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
下笔成篇, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
手急眼快, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
殚见洽闻, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
别开生面, idiom, 1.0, 1.0, PC, 5.0, 1.0, , , , , , 
裙带关系, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
强记, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
抢亲, verb, 1.0, 1.0, NN, 7.0, 2.0, ND, 5.0, 2.0, , , 
敲竹杠, noun, 1.0, 1.0, ND, 5.0, 2.0, , , , , , 
愀然, adv, 1.0, 1.0, NJ, 7.0, 2.0, , , , , , 
切忌, verb, 1.0, 1.0, NI, 5.0, 0.0, , , , , , 
亲口, adv, 1.0, 1.0, PE, 5.0, 0.0, PG, 5.0, 0.0, , , 
亲吻, verb, 1.0, 1.0, PB, 7.0, 0.0, , , , , , 
勤王, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
轻取, verb, 1.0, 1.0, PA, 5.0, 0.0, , , , , , 
倾向, verb, 2.0, 1.0, PG, 5.0, 0.0, PB, 5.0, 0.0, , , 
清瘦, adj, 1.0, 1.0, NB, 7.0, 0.0, , , , , , 
情话, noun, 1.0, 1.0, PF, 7.0, 1.0, , , , , , 
情谊, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
请援, verb, 1.0, 1.0, PK, 5.0, 0.0, , , , , , 
穷竭, noun, 1.0, 1.0, NJ, 5.0, 0.0, NB, 5.0, 0.0, , , 
囚牢, noun, 1.0, 1.0, NC, 7.0, 0.0, , , , , , 
求偶, verb, 1.0, 1.0, PA, 5.0, 0.0, , , , , , 
驱迫, verb, 1.0, 1.0, NC, 5.0, 2.0, ND, 5.0, 2.0, , , 
取悦, verb, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
无与为比, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
舞爪张牙, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
析肝吐胆, idiom, 1.0, 1.0, PH, 9.0, 1.0, , , , , , 
嘻皮笑脸, idiom, 3.0, 3.0, NN, 7.0, 2.0, , , , , , 
洗心回面, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
喜形於色, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
霞思天想, idiom, 1.0, 1.0, NE, 5.0, 0.0, , , , , , 
夏虫疑冰, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
先意承指, idiom, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
鲜车怒马, idiom, 1.0, 1.0, PH, 5.0, 3.0, NN, 5.0, 3.0, , , 
闲言淡语, idiom, 2.0, 2.0, NN, 5.0, 2.0, , , , , , 
贤贤易色, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
衔冤负屈, idiom, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
显姓扬名, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
乡利倍义, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
祥风时雨, idiom, 1.0, 1.0, PH, 5.0, 1.0, PE, 5.0, 1.0, , , 
像煞有介事, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
鸮鸟生翼, idiom, 1.0, 1.0, NN, 9.0, 2.0, , , , , , 
霄鱼垂化, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
效死勿去, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
胁肩低首, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
心忙意乱, idiom, 1.0, 1.0, NI, 5.0, 1.0, , , , , , 
心如槁木, idiom, 1.0, 1.0, NJ, 7.0, 0.0, , , , , , 
心狠手毒, idiom, 1.0, 1.0, ND, 7.0, 2.0, , , , , , 
心贯白日, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
心劳意攘, idiom, 1.0, 1.0, NI, 7.0, 2.0, , , , , , 
心烦虑乱, idiom, 1.0, 1.0, NE, 7.0, 2.0, , , , , , 
心头撞鹿, idiom, 1.0, 1.0, NI, 7.0, 2.0, , , , , , 
心惊胆裂, idiom, 1.0, 1.0, NC, 9.0, 2.0, , , , , , 
兴致淋漓, idiom, 1.0, 1.0, PA, 9.0, 1.0, , , , , , 
孔方兄, noun, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
夸嘴, verb, 1.0, 1.0, NN, 3.0, 2.0, , , , , , 
喟然, adv, 1.0, 1.0, NJ, 3.0, 2.0, , , , , , 
苦心, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
亏折, verb, 1.0, 1.0, NB, 5.0, 1.0, , , , , , 
拉饥荒, verb, 1.0, 1.0, NB, 3.0, 2.0, NE, 3.0, 2.0, , , 
披肝露胆, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
匹马一麾, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
飘瓦虚舟, idiom, 1.0, 1.0, NA, 5.0, 2.0, , , , , , 
贫贱之知, idiom, 1.0, 1.0, PH, 3.0, 1.0, , , , , , 
破肝糜胃, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
破觚斫雕, idiom, 1.0, 1.0, PH, 1.0, 1.0, , , , , , 
剖肝沥胆, idiom, 1.0, 1.0, PG, 7.0, 1.0, , , , , , 
七步八叉, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
七窍玲珑, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
奇花异草, idiom, 1.0, 1.0, PB, 3.0, 1.0, , , , , , 
骑上扬州鹤, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
骑鹤扬州, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
棋逢对手, idiom, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
杞天之虑, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
气吞湖海, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
气满志得, idiom, 1.0, 1.0, PE, 7.0, 1.0, PA, 7.0, 1.0, , , 
弃邪从正, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
弃瑕取用, idiom, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
掐尖落钞, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
千夫诺诺，不如一士谔谔, idiom, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
千里神交, idiom, 1.0, 1.0, PB, 7.0, 1.0, PH, 5.0, 1.0, , , 
千辛万苦, idiom, 1.0, 1.0, NB, 9.0, 0.0, , , , , , 
千思万想, idiom, 1.0, 1.0, NE, 7.0, 0.0, NB, 7.0, 0.0, , , 
千仓万箱, idiom, 1.0, 1.0, PA, 9.0, 1.0, , , , , , 
千疮百痍, idiom, 1.0, 1.0, NB, 7.0, 0.0, , , , , , 
迁思回虑, idiom, 1.0, 1.0, NE, 7.0, 0.0, , , , , , 
牵肠萦心, idiom, 1.0, 1.0, PF, 9.0, 0.0, , , , , , 
前尘影事, idiom, 1.0, 1.0, PF, 5.0, 0.0, , , , , , 
潜蛟困凤, idiom, 1.0, 1.0, NJ, 5.0, 0.0, NB, 5.0, 0.0, , , 
彩霞, noun, 1.0, 1.0, PA, 5.0, 1.0, , , , , , 
残年, noun, 1.0, 1.0, NB, 5.0, 0.0, , , , , , 
产褥热, noun, 1.0, 1.0, NB, 7.0, 0.0, NC, 5.0, 0.0, , , 
噫嘻, verb, 1.0, 1.0, PH, 5.0, 0.0, NB, 5.0, 0.0, , , 
义务劳动, noun, 1.0, 1.0, PH, 5.0, 1.0, , , , , , 
异己, adj, 1.0, 1.0, ND, 5.0, 0.0, , , , , , 
殷殷, adj, 3.0, 2.0, PG, 7.0, 1.0, , , , , , 
英魂, noun, 2.0, 2.0, PD, 7.0, 1.0, PH, 7.0, 1.0, , , 
遇救, verb, 1.0, 1.0, PA, 7.0, 0.0, , , , , , 
元戎, noun, 1.0, 1.0, PD, 5.0, 0.0, , , , , , 
圆谎, verb, 1.0, 1.0, NN, 7.0, 2.0, , , , , , 
远谋, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
约会, verb, 2.0, 1.0, PA, 5.0, 1.0, , , , , , 
岳丈, noun, 1.0, 1.0, PD, 5.0, 1.0, , , , , , 
陨越, verb, 1.0, 1.0, NB, 7.0, 0.0, , , , , , 
晕高儿, verb, 1.0, 1.0, NI, 5.0, 0.0, , , , , , 
栽脏, verb, 1.0, 1.0, ND, 7.0, 2.0, NN, 7.0, 2.0, , , 
赞美诗, noun, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
早退, verb, 1.0, 1.0, NN, 5.0, 2.0, , , , , , 
垂手而得, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
瓮中捉鳖, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
回光返照, idiom, 1.0, 1.0, PC, 3.0, 0.0, , , , , , 
紫气东来, idiom, 1.0, 1.0, PA, 9.0, 1.0, , , , , , 
晴天霹雳, idiom, 1.0, 1.0, PC, 9.0, 0.0, , , , , , 
天灾人祸, idiom, 1.0, 1.0, NC, 9.0, 0.0, , , , , , 
反败为胜, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
多财善贾, idiom, 1.0, 1.0, PH, 7.0, 1.0, , , , , , 
情深潭水, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
同声相应，同气相求, idiom, 1.0, 1.0, PA, 7.0, 1.0, , , , , , 
